日期,总市值,现金,当前持仓,纳指科技ETF综合得分,易方达黄金ETF综合得分,纳指科技ETF长周期结束净值,易方达黄金ETF长周期结束净值
2024-01-02,100000.0,0.0,纳指科技ETF(159509),0.365877,0.259567,1.082,4.648
2024-01-03,97500.0,0.0,纳指科技ETF(159509),0.367563,0.260537,1.08,4.666
2024-01-04,97407.41,0.0,纳指科技ETF(159509),0.345024,0.26169,1.053,4.663
2024-01-05,96203.7,0.0,纳指科技ETF(159509),0.325579,0.263641,1.052,4.651
2024-01-08,96388.89,0.0,纳指科技ETF(159509),0.301323,0.266822,1.039,4.664
2024-01-09,100185.19,0.0,纳指科技ETF(159509),0.279038,0.268263,1.041,4.65
2024-01-10,100648.15,0.0,易方达黄金ETF(518880),0.276936,0.277542,1.082,4.649
2024-01-11,100648.15,0.0,易方达黄金ETF(518880),0.269033,0.275068,1.087,4.631
2024-01-12,100974.15,0.0,易方达黄金ETF(518880),0.265874,0.272069,1.103,4.631
2024-01-15,101560.96,0.0,易方达黄金ETF(518880),0.260269,0.271651,1.101,4.646
2024-01-16,101647.89,0.0,易方达黄金ETF(518880),0.262096,0.274139,1.13,4.673
2024-01-17,100648.15,0.0,易方达黄金ETF(518880),0.257608,0.272453,1.099,4.677
2024-01-18,100322.14,0.0,易方达黄金ETF(518880),0.254456,0.263586,1.101,4.631
2024-01-19,100908.95,0.0,纳指科技ETF(159509),0.259524,0.255455,1.115,4.616
2024-01-22,104434.15,0.0,纳指科技ETF(159509),0.269979,0.25461,1.145,4.643
2024-01-23,103288.46,0.0,纳指科技ETF(159509),0.284623,0.251933,1.185,4.625
2024-01-24,104081.63,0.0,纳指科技ETF(159509),0.299426,0.250205,1.172,4.632
2024-01-25,104434.15,0.0,纳指科技ETF(159509),0.326372,0.250015,1.181,4.626
2024-01-26,103112.2,0.0,纳指科技ETF(159509),0.360913,-0.249425,1.185,4.605
2024-01-29,104522.28,0.0,纳指科技ETF(159509),0.378401,-0.248432,1.17,4.625
2024-01-30,106373.02,0.0,纳指科技ETF(159509),0.404994,0.247548,1.186,4.634
2024-01-31,103288.46,0.0,纳指科技ETF(159509),0.440252,0.247021,1.207,4.647
2024-02-01,101966.51,0.0,纳指科技ETF(159509),0.451716,0.247693,1.172,4.653
2024-02-02,104786.67,0.0,纳指科技ETF(159509),0.452559,0.249344,1.157,4.668
2024-02-05,106725.54,0.0,纳指科技ETF(159509),0.469023,0.250243,1.189,4.679
2024-02-06,108400.01,0.0,纳指科技ETF(159509),0.483226,-0.249563,1.211,4.643
2024-02-07,107254.32,0.0,纳指科技ETF(159509),0.490118,-0.249329,1.23,4.633
2024-02-08,110867.65,0.0,纳指科技ETF(159509),0.484798,-0.249978,1.217,4.642
2024-02-19,110955.78,0.0,纳指科技ETF(159509),0.488411,0.25039,1.258,4.662
2024-02-20,110779.52,0.0,纳指科技ETF(159509),0.487246,0.250046,1.259,4.644
2024-02-21,108752.53,0.0,纳指科技ETF(159509),0.477647,0.24977,1.257,4.642
2024-02-22,112718.38,0.0,纳指科技ETF(159509),0.468713,0.250041,1.234,4.642
2024-02-23,116684.24,0.0,纳指科技ETF(159509),0.474116,0.249979,1.279,4.639
2024-02-26,115186.03,0.0,纳指科技ETF(159509),0.488362,0.249838,1.324,4.63
2024-02-27,115274.16,0.0,纳指科技ETF(159509),0.484529,0.250165,1.307,4.651
2024-02-28,117565.54,0.0,纳指科技ETF(159509),0.485091,0.250359,1.308,4.646
2024-02-29,116860.5,0.0,纳指科技ETF(159509),0.489443,0.25093,1.334,4.645
2024-03-01,120738.22,0.0,纳指科技ETF(159509),0.486209,0.250939,1.326,4.647
2024-03-04,126819.2,0.0,纳指科技ETF(159509),0.489517,0.251207,1.37,4.667
2024-03-05,120385.7,0.0,纳指科技ETF(159509),0.503213,0.254091,1.439,4.725
2024-03-06,123029.6,0.0,纳指科技ETF(159509),0.496088,0.257622,1.366,4.789
2024-03-07,120473.83,0.0,纳指科技ETF(159509),0.494346,0.2626,1.396,4.824
2024-03-08,126114.16,0.0,纳指科技ETF(159509),0.498584,0.270184,1.367,4.885
2024-03-11,124175.29,0.0,纳指科技ETF(159509),0.502485,0.276937,1.431,4.881
2024-03-12,126731.07,0.0,纳指科技ETF(159509),0.503212,0.286663,1.409,4.899
2024-03-13,124792.2,0.0,纳指科技ETF(159509),0.500259,0.296923,1.438,4.879
2024-03-14,126378.55,0.0,纳指科技ETF(159509),0.500347,0.307547,1.416,4.87
2024-03-15,125056.6,0.0,纳指科技ETF(159509),0.499219,0.319664,1.434,4.877
2024-03-18,126642.94,0.0,纳指科技ETF(159509),0.498877,0.335325,1.419,4.899
2024-03-19,123029.6,0.0,纳指科技ETF(159509),0.497657,0.345784,1.437,4.86
2024-03-20,123117.73,0.0,纳指科技ETF(159509),0.490604,0.349932,1.396,4.87
2024-03-21,121619.52,0.0,纳指科技ETF(159509),0.479966,0.352312,1.397,4.88
2024-03-22,118623.1,0.0,纳指科技ETF(159509),0.454106,0.364809,1.38,4.978
2024-03-25,121443.26,0.0,纳指科技ETF(159509),0.398285,0.371866,1.346,4.946
2024-03-26,123470.25,0.0,易方达黄金ETF(518880),0.358748,0.373384,1.378,4.956
2024-03-27,124066.97,0.0,易方达黄金ETF(518880),0.329699,0.375005,1.401,4.966
2024-03-28,125036.63,0.0,易方达黄金ETF(518880),0.293234,0.375607,1.399,4.99
2024-03-29,127448.35,0.0,易方达黄金ETF(518880),0.268874,0.377,1.385,5.029
2024-04-01,128169.38,0.0,易方达黄金ETF(518880),0.25715,0.383066,1.373,5.126
2024-04-02,128268.84,0.0,易方达黄金ETF(518880),0.253189,0.388616,1.396,5.155
2024-04-03,130058.98,0.0,易方达黄金ETF(518880),0.250691,0.388926,1.385,5.159
2024-04-08,133117.14,0.0,易方达黄金ETF(518880),-0.24812,0.393206,1.357,5.231
2024-04-09,133490.09,0.0,易方达黄金ETF(518880),-0.242685,0.401921,1.342,5.354
2024-04-10,133962.49,0.0,易方达黄金ETF(518880),-0.232989,0.407117,1.323,5.369
2024-04-11,132967.97,0.0,易方达黄金ETF(518880),-0.234237,0.414601,1.341,5.388
2024-04-12,136846.61,0.0,易方达黄金ETF(518880),-0.219641,0.423248,1.318,5.348
2024-04-15,134683.52,0.0,易方达黄金ETF(518880),0.224091,0.444729,1.387,5.504
2024-04-16,135553.73,0.0,易方达黄金ETF(518880),0.218479,0.458704,1.38,5.417
2024-04-17,135777.5,0.0,易方达黄金ETF(518880),-0.210334,0.467297,1.314,5.452
2024-04-18,135379.69,0.0,易方达黄金ETF(518880),-0.205908,0.477744,1.318,5.461
2024-04-19,136026.13,0.0,易方达黄金ETF(518880),0.208573,0.479643,1.317,5.445
2024-04-22,133365.78,0.0,易方达黄金ETF(518880),-0.201545,0.481278,1.268,5.471
2024-04-23,130083.84,0.0,易方达黄金ETF(518880),-0.197697,0.473128,1.24,5.364
2024-04-24,131451.32,0.0,易方达黄金ETF(518880),-0.196671,0.44859,1.256,5.232
2024-04-25,131476.18,0.0,易方达黄金ETF(518880),0.206002,0.424165,1.314,5.287
2024-04-26,132495.57,0.0,易方达黄金ETF(518880),0.200117,0.391723,1.268,5.288
2024-04-29,131625.36,0.0,易方达黄金ETF(518880),-0.202336,0.359082,1.306,5.329
2024-04-30,131426.45,0.0,易方达黄金ETF(518880),0.207947,0.329588,1.316,5.294
2024-05-06,130630.83,0.0,易方达黄金ETF(518880),0.204761,0.299019,1.317,5.286
2024-05-07,130978.92,0.0,易方达黄金ETF(518880),0.209289,0.273675,1.319,5.254
2024-05-08,130804.87,0.0,易方达黄金ETF(518880),0.220546,0.258731,1.333,5.268
2024-05-09,130531.38,0.0,易方达黄金ETF(518880),0.22806,0.251696,1.321,5.261
2024-05-10,133490.09,0.0,易方达黄金ETF(518880),-0.232739,0.249792,1.314,5.25
2024-05-13,132694.47,0.0,易方达黄金ETF(518880),0.239223,0.251242,1.324,5.369
2024-05-14,132495.57,0.0,易方达黄金ETF(518880),0.245775,0.250332,1.326,5.337
2024-05-15,133514.95,0.0,易方达黄金ETF(518880),-0.248426,-0.245481,1.322,5.329
2024-05-16,134683.52,0.0,纳指科技ETF(159509),0.251131,0.242935,1.352,5.37
2024-05-17,134779.38,0.0,纳指科技ETF(159509),0.254037,0.246128,1.405,5.417
2024-05-20,136984.16,0.0,纳指科技ETF(159509),0.255022,0.24771,1.406,5.416
2024-05-21,140051.69,0.0,纳指科技ETF(159509),0.264235,0.251288,1.429,5.55
2024-05-22,139668.25,0.0,纳指科技ETF(159509),0.285468,0.250727,1.461,5.481
2024-05-23,141777.17,0.0,纳指科技ETF(159509),0.348519,0.249557,1.457,5.492
2024-05-24,135162.82,0.0,纳指科技ETF(159509),0.435595,0.249169,1.479,5.366
2024-05-27,140339.27,0.0,纳指科技ETF(159509),0.448429,0.248929,1.41,5.319
2024-05-28,141968.89,0.0,纳指科技ETF(159509),0.47573,0.25195,1.464,5.338
2024-05-29,141489.59,0.0,纳指科技ETF(159509),0.497074,0.254494,1.481,5.334
2024-05-30,139284.81,0.0,纳指科技ETF(159509),0.493804,0.261813,1.476,5.37
2024-05-31,138805.51,0.0,纳指科技ETF(159509),0.48606,0.260954,1.453,5.317
2024-06-03,141297.87,0.0,纳指科技ETF(159509),0.47894,0.256001,1.448,5.343
2024-06-04,140243.41,0.0,纳指科技ETF(159509),0.486363,0.252628,1.474,5.296
2024-06-05,141585.45,0.0,纳指科技ETF(159509),0.477187,0.251742,1.463,5.346
2024-06-06,147337.06,0.0,纳指科技ETF(159509),0.47319,0.2514,1.477,5.324
2024-06-07,148391.52,0.0,纳指科技ETF(159509),0.485136,0.25157,1.537,5.398
2024-06-11,150117.01,0.0,纳指科技ETF(159509),0.489163,0.251594,1.548,5.399
2024-06-12,154238.99,0.0,纳指科技ETF(159509),0.489226,0.248108,1.566,5.237
2024-06-13,155485.17,0.0,纳指科技ETF(159509),0.497014,-0.248221,1.609,5.267
2024-06-14,158840.28,0.0,纳指科技ETF(159509),0.498857,0.248292,1.622,5.269
2024-06-17,163825.01,0.0,纳指科技ETF(159509),0.499667,0.242333,1.657,5.271
2024-06-18,165646.35,0.0,纳指科技ETF(159509),0.504269,0.239968,1.709,5.279
2024-06-19,160565.76,0.0,纳指科技ETF(159509),0.503917,0.235901,1.728,5.284
2024-06-20,166700.81,0.0,纳指科技ETF(159509),0.495746,0.231886,1.675,5.305
2024-06-21,161428.5,0.0,纳指科技ETF(159509),0.499573,0.233596,1.739,5.351
2024-06-24,160565.76,0.0,纳指科技ETF(159509),0.499716,0.238752,1.684,5.376
2024-06-25,155197.59,0.0,纳指科技ETF(159509),0.49422,-0.237813,1.675,5.29
2024-06-26,163153.99,0.0,纳指科技ETF(159509),0.492605,-0.242314,1.619,5.302
2024-06-27,161236.78,0.0,纳指科技ETF(159509),0.500468,-0.24516,1.702,5.271
2024-06-28,164112.59,0.0,纳指科技ETF(159509),0.503161,-0.246289,1.682,5.242
2024-07-01,164591.89,0.0,纳指科技ETF(159509),0.49968,0.248133,1.712,5.297
2024-07-02,162770.55,0.0,纳指科技ETF(159509),0.500355,0.248327,1.717,5.299
2024-07-03,160374.04,0.0,纳指科技ETF(159509),0.495275,0.248255,1.698,5.306
2024-07-04,159127.86,0.0,纳指科技ETF(159509),0.488969,0.249592,1.673,5.34
2024-07-05,159127.86,0.0,纳指科技ETF(159509),0.47722,0.250633,1.66,5.365
2024-07-08,163058.13,0.0,纳指科技ETF(159509),0.447611,0.250478,1.66,5.381
2024-07-09,166317.37,0.0,纳指科技ETF(159509),0.414604,0.250336,1.701,5.384
2024-07-10,165646.35,0.0,纳指科技ETF(159509),0.389816,0.250003,1.735,5.362
2024-07-11,169576.62,0.0,纳指科技ETF(159509),0.351305,0.251497,1.728,5.397
2024-07-12,160661.62,0.0,纳指科技ETF(159509),0.330905,0.254143,1.769,5.417
2024-07-15,164496.03,0.0,纳指科技ETF(159509),0.289825,0.263753,1.676,5.446
2024-07-16,162770.55,0.0,易方达黄金ETF(518880),0.272488,0.281745,1.716,5.442
2024-07-17,164869.86,0.0,易方达黄金ETF(518880),0.261077,0.286043,1.698,5.505
2024-07-18,164781.15,0.0,易方达黄金ETF(518880),0.250381,0.295306,1.669,5.576
2024-07-19,160405.13,0.0,易方达黄金ETF(518880),0.24822,0.303395,1.65,5.573
2024-07-22,160286.85,0.0,易方达黄金ETF(518880),-0.2476,0.296484,1.617,5.425
2024-07-23,159488.52,0.0,易方达黄金ETF(518880),-0.244087,0.291801,1.569,5.421
2024-07-24,161587.84,0.0,易方达黄金ETF(518880),-0.243033,0.285353,1.575,5.394
2024-07-25,157507.48,0.0,易方达黄金ETF(518880),-0.233888,0.28693,1.523,5.465
2024-07-26,158187.54,0.0,易方达黄金ETF(518880),-0.224596,0.275021,1.465,5.327
2024-07-29,159281.55,0.0,易方达黄金ETF(518880),-0.218003,0.270562,1.5,5.35
2024-07-30,159488.52,0.0,易方达黄金ETF(518880),0.215148,0.26637,1.556,5.387
2024-07-31,160730.37,0.0,易方达黄金ETF(518880),0.195369,0.26162,1.515,5.394
2024-08-01,162031.35,0.0,易方达黄金ETF(518880),-0.189657,0.258352,1.534,5.436
2024-08-02,162770.55,0.0,易方达黄金ETF(518880),0.192505,0.256294,1.59,5.48
2024-08-05,158660.63,0.0,易方达黄金ETF(518880),-0.18347,0.255527,1.481,5.505
2024-08-06,157507.48,0.0,易方达黄金ETF(518880),-0.17264,0.249826,1.333,5.366
2024-08-07,158246.68,0.0,易方达黄金ETF(518880),-0.172582,0.24796,1.41,5.327
2024-08-08,158157.98,0.0,纳指科技ETF(159509),0.170131,-0.249801,1.401,5.352
2024-08-09,163955.56,0.0,易方达黄金ETF(518880),-0.159531,0.249747,1.364,5.349
2024-08-12,165201.33,0.0,易方达黄金ETF(518880),0.157009,0.249426,1.414,5.396
2024-08-13,166325.56,0.0,易方达黄金ETF(518880),0.159557,0.249683,1.439,5.437
2024-08-14,165778.63,0.0,易方达黄金ETF(518880),0.165762,0.249395,1.479,5.474
2024-08-15,165383.63,0.0,易方达黄金ETF(518880),0.179801,0.24872,1.532,5.456
2024-08-16,165687.48,0.0,纳指科技ETF(159509),0.196891,-0.248206,1.548,5.443
2024-08-19,161757.31,0.0,纳指科技ETF(159509),0.2178,-0.249047,1.602,5.453
2024-08-20,165066.93,0.0,易方达黄金ETF(518880),0.231786,0.250578,1.564,5.513
2024-08-21,165785.52,0.0,易方达黄金ETF(518880),-0.243942,0.250684,1.596,5.513
2024-08-22,165366.34,0.0,易方达黄金ETF(518880),0.250744,0.251193,1.597,5.537
2024-08-23,164797.45,0.0,易方达黄金ETF(518880),0.249938,0.25839,1.594,5.523
2024-08-26,165815.46,0.0,易方达黄金ETF(518880),0.251313,0.261502,1.58,5.504
2024-08-27,165695.7,0.0,易方达黄金ETF(518880),0.258055,0.267589,1.579,5.538
2024-08-28,165516.05,0.0,纳指科技ETF(159509),0.272905,0.27108,1.565,5.534
2024-08-29,159743.45,0.0,纳指科技ETF(159509),0.289122,0.280765,1.577,5.528
2024-08-30,162262.4,0.0,纳指科技ETF(159509),0.279304,0.278272,1.522,5.535
2024-09-02,164991.27,0.0,纳指科技ETF(159509),0.283623,0.275055,1.546,5.522
2024-09-03,165306.14,0.0,纳指科技ETF(159509),0.314138,0.270743,1.572,5.491
2024-09-04,151661.82,0.0,纳指科技ETF(159509),0.332407,0.268186,1.575,5.501
2024-09-05,153655.99,0.0,纳指科技ETF(159509),0.302747,0.264961,1.445,5.463
2024-09-06,152921.3,0.0,纳指科技ETF(159509),0.314471,0.26885,1.464,5.502
2024-09-09,154285.73,0.0,纳指科技ETF(159509),0.294978,0.277879,1.457,5.517
2024-09-10,152816.34,0.0,易方达黄金ETF(518880),0.260142,0.268427,1.47,5.477
2024-09-11,153620.2,0.0,易方达黄金ETF(518880),0.251189,0.262491,1.456,5.513
2024-09-12,153315.29,0.0,易方达黄金ETF(518880),0.249787,0.259991,1.465,5.542
2024-09-13,155532.83,0.0,易方达黄金ETF(518880),0.252639,0.25582,1.538,5.531
2024-09-18,155477.39,0.0,易方达黄金ETF(518880),0.249798,0.256428,1.553,5.611
2024-09-19,155227.92,0.0,易方达黄金ETF(518880),-0.237907,0.257315,1.527,5.609
2024-09-20,156974.23,0.0,易方达黄金ETF(518880),0.23365,0.258062,1.556,5.6
2024-09-23,158304.75,0.0,易方达黄金ETF(518880),0.236144,0.261286,1.558,5.663
2024-09-24,157916.68,0.0,易方达黄金ETF(518880),0.240098,0.264706,1.575,5.711
2024-09-25,159108.61,0.0,易方达黄金ETF(518880),0.24492,0.26649,1.56,5.697
2024-09-26,159413.53,0.0,易方达黄金ETF(518880),-0.24457,0.274472,1.537,5.74
2024-09-27,158221.6,0.0,易方达黄金ETF(518880),-0.248429,0.283979,1.554,5.751
2024-09-30,158193.88,0.0,易方达黄金ETF(518880),-0.246409,0.29264,1.479,5.708
2024-10-08,158387.91,0.0,易方达黄金ETF(518880),-0.244332,0.300161,1.453,5.707
2024-10-09,156336.69,0.0,易方达黄金ETF(518880),-0.24693,0.305749,1.452,5.714
2024-10-10,157334.58,0.0,易方达黄金ETF(518880),0.252178,0.304581,1.52,5.64
2024-10-11,159080.89,0.0,易方达黄金ETF(518880),0.253885,0.307424,1.546,5.676
2024-10-14,160744.05,0.0,易方达黄金ETF(518880),0.251102,0.315959,1.546,5.739
2024-10-15,160744.05,0.0,易方达黄金ETF(518880),0.250629,0.327295,1.554,5.799
2024-10-16,163100.19,0.0,易方达黄金ETF(518880),0.255717,0.334159,1.602,5.799
2024-10-17,163682.29,0.0,易方达黄金ETF(518880),0.264539,0.342345,1.574,5.884
2024-10-18,164791.06,0.0,易方达黄金ETF(518880),0.291718,0.350885,1.595,5.905
2024-10-21,166870.01,0.0,易方达黄金ETF(518880),0.284353,0.354568,1.571,5.945
2024-10-22,166814.57,0.0,易方达黄金ETF(518880),0.276563,0.364962,1.563,6.02
2024-10-23,167867.9,0.0,易方达黄金ETF(518880),0.2688,0.373221,1.56,6.018
2024-10-24,166177.03,0.0,易方达黄金ETF(518880),0.26134,0.376891,1.551,6.056
2024-10-25,166260.19,0.0,易方达黄金ETF(518880),0.252718,0.375633,1.534,5.995
2024-10-28,166786.85,0.0,易方达黄金ETF(518880),0.249176,0.374311,1.522,5.998
2024-10-29,168200.53,0.0,易方达黄金ETF(518880),0.250506,0.372067,1.54,6.017
2024-10-30,170196.32,0.0,易方达黄金ETF(518880),0.250672,0.378093,1.532,6.068
2024-10-31,169170.71,0.0,易方达黄金ETF(518880),0.252327,0.385951,1.583,6.14
2024-11-01,167729.31,0.0,易方达黄金ETF(518880),0.251626,0.384303,1.548,6.103
2024-11-04,166481.94,0.0,易方达黄金ETF(518880),0.248206,0.379826,1.52,6.051
2024-11-05,166481.94,0.0,易方达黄金ETF(518880),0.250223,0.374116,1.524,6.006
2024-11-06,166149.31,0.0,易方达黄金ETF(518880),0.250648,0.364839,1.512,6.006
2024-11-07,162434.93,0.0,易方达黄金ETF(518880),0.253515,0.355928,1.566,5.994
2024-11-08,163488.26,0.0,易方达黄金ETF(518880),0.25594,0.324654,1.563,5.86
2024-11-11,163682.29,0.0,易方达黄金ETF(518880),0.252104,0.300987,1.569,5.898
2024-11-12,160965.8,0.0,易方达黄金ETF(518880),0.25004,0.282971,1.56,5.905
2024-11-13,160660.89,0.0,易方达黄金ETF(518880),-0.248298,0.261202,1.536,5.807
2024-11-14,157445.46,0.0,易方达黄金ETF(518880),-0.247483,0.250523,1.543,5.796
2024-11-15,157528.62,0.0,纳指科技ETF(159509),0.247909,-0.248607,1.547,5.68
2024-11-18,156912.47,0.0,纳指科技ETF(159509),-0.245289,-0.246397,1.534,5.683
2024-11-19,158144.76,0.0,易方达黄金ETF(518880),-0.242971,0.242272,1.528,5.758
2024-11-20,158117.77,0.0,纳指科技ETF(159509),0.247018,0.235197,1.54,5.858
2024-11-21,156081.48,0.0,纳指科技ETF(159509),0.249592,0.228359,1.553,5.857
2024-11-22,155877.85,0.0,易方达黄金ETF(518880),-0.249311,0.226225,1.533,5.933
2024-11-25,153439.83,0.0,易方达黄金ETF(518880),-0.248922,0.231271,1.531,6.01
2024-11-26,151572.41,0.0,易方达黄金ETF(518880),-0.249869,-0.232114,1.532,5.916
2024-11-27,152998.91,0.0,纳指科技ETF(159509),0.249959,-0.230552,1.531,5.844
